menu_id,bean_id,is_blended,match_source,match_country,match_keywords,id
6,799,False,menu_name,베트남,베트남,1
15,4,False,menu_name,에티오피아,"에티오피아,게이샤",2
16,4,False,menu_name,에티오피아,"에티오피아,게이샤",3
31,17,False,store_description,인도네시아,,4
32,17,False,store_description,인도네시아,,5
33,17,False,store_description,인도네시아,,6
34,17,False,store_description,인도네시아,,7
35,17,False,store_description,인도네시아,,8
36,17,False,store_description,인도네시아,,9
44,4,False,menu_name,에티오피아,에디오피아,10
46,5,False,menu_name,과테말라,과테말라,11
51,4,False,store_description,에티오피아,,12
52,4,False,store_description,에티오피아,,13
53,4,False,store_description,에티오피아,,14
54,4,False,store_description,에티오피아,,15
55,4,False,store_description,에티오피아,,16
56,4,False,store_description,에티오피아,,17
57,1,False,menu_name,콜롬비아,콜롬비아,18
76,18,False,menu_name,코스타리카,코스타리카,19
77,5,False,menu_name,과테말라,과테말라,20
78,36,False,menu_name,에티오피아,예가체프,21
79,94,False,menu_name,콜롬비아,"콜롬비아,게이샤",22
151,127,False,menu_name,예멘,모카,23
178,127,False,menu_name,예멘,모카,24
186,127,False,menu_name,예멘,모카,25
194,2,False,menu_name,케냐,케냐,26
195,4,False,menu_name,에티오피아,에티오피아,27
197,38,False,menu_name,브라질,브라질,28
198,5,False,menu_name,과테말라,과테말라,29
199,1,False,menu_name,콜롬비아,콜롬비아,30
200,18,False,menu_name,코스타리카,코스타리카,31
217,127,False,menu_name,예멘,모카,32
308,127,False,menu_name,예멘,모카,33
309,5,False,menu_name,과테말라,과테말라,34
324,127,False,store_description,예멘,,35
325,127,False,store_description,예멘,,36
326,127,False,store_description,예멘,,37
327,127,False,store_description,예멘,,38
328,127,False,store_description,예멘,,39
335,127,False,menu_name,예멘,모카,40
336,1,False,menu_name,콜롬비아,"콜롬비아,내추럴",41
337,1,False,menu_name,콜롬비아,"콜롬비아,내추럴",42
338,1,False,menu_name,콜롬비아,"콜롬비아,내추럴",43
339,1,False,menu_name,콜롬비아,"콜롬비아,자바,내추럴",44
340,1,False,menu_name,콜롬비아,콜롬비아,45
341,25,False,menu_name,콜롬비아,"콜롬비아,게샤,워시드",46
342,40,False,menu_name,엘살바도르,"엘살바도르,파카마라,내추럴",47
343,4,False,menu_name,에티오피아,"에티오피아,워시드",48
344,36,False,menu_name,에티오피아,"에티오피아,예가체프,내추럴",49
355,127,False,menu_name,예멘,모카,50
368,5,False,menu_name,과테말라,과테말라,51
369,28,False,menu_name,케냐,"케냐,AA",52
370,4,False,menu_name,에티오피아,"에티오피아,구지",53
371,20,False,store_description,하와이,,54
372,20,False,store_description,하와이,,55
373,20,False,store_description,하와이,,56
374,20,False,store_description,하와이,,57
381,4,False,menu_name,에티오피아,"에티오피아,구지,게이샤",58
384,127,False,menu_name,예멘,"예멘,모카",59
454,4,False,store_description,에티오피아,,60
454,5,False,store_description,과테말라,,61
454,1,False,store_description,콜롬비아,,62
454,38,False,store_description,브라질,,63
455,4,False,store_description,에티오피아,,64
455,5,False,store_description,과테말라,,65
455,1,False,store_description,콜롬비아,,66
455,38,False,store_description,브라질,,67
456,4,False,store_description,에티오피아,,68
456,5,False,store_description,과테말라,,69
456,1,False,store_description,콜롬비아,,70
456,38,False,store_description,브라질,,71
459,127,False,menu_name,예멘,모카,72
519,127,False,menu_name,예멘,모카,73
526,127,False,menu_name,예멘,모카,74
583,127,False,menu_name,예멘,모카,75
596,16,False,menu_name,엘살바도르,"엘살바도르,게이샤",76
597,1,False,menu_name,콜롬비아,콜롬비아,77
598,28,False,menu_name,케냐,"케냐,AA,워시드",78
604,127,False,menu_name,예멘,모카,79
635,799,False,menu_name,베트남,베트남,80
640,127,False,menu_name,예멘,모카,81
641,127,False,menu_name,예멘,모카,82
681,127,False,menu_name,예멘,모카,83
730,5,False,menu_name,과테말라,과테말라,84
731,2,False,menu_name,케냐,케냐,85
732,127,False,menu_name,예멘,모카,86
734,4,False,menu_name,에티오피아,에티오피아,87
742,127,False,menu_name,예멘,예멘,88
743,127,False,store_description,예멘,,89
751,2,False,menu_name,케냐,케냐,90
755,127,False,menu_name,예멘,모카,91
789,127,False,store_description,예멘,,92
790,127,False,store_description,예멘,,93
791,127,False,store_description,예멘,,94
792,127,False,store_description,예멘,,95
793,127,False,store_description,예멘,,96
794,127,False,store_description,예멘,,97
795,127,False,store_description,예멘,,98
796,127,False,store_description,예멘,,99
797,127,False,store_description,예멘,,100
798,127,False,store_description,예멘,,101
799,127,False,store_description,예멘,,102
800,127,False,store_description,예멘,,103
821,127,False,menu_name,예멘,모카,104
860,4,False,store_description,에티오피아,,105
860,5,False,store_description,과테말라,,106
860,1,False,store_description,콜롬비아,,107
860,18,False,store_description,코스타리카,,108
860,38,False,store_description,브라질,,109
861,4,False,store_description,에티오피아,,110
861,5,False,store_description,과테말라,,111
861,1,False,store_description,콜롬비아,,112
861,18,False,store_description,코스타리카,,113
861,38,False,store_description,브라질,,114
862,4,False,store_description,에티오피아,,115
862,5,False,store_description,과테말라,,116
862,1,False,store_description,콜롬비아,,117
862,18,False,store_description,코스타리카,,118
862,38,False,store_description,브라질,,119
864,17,False,store_description,인도네시아,,120
865,17,False,store_description,인도네시아,,121
882,127,False,menu_name,예멘,모카,122
891,127,False,menu_name,예멘,모카,123
897,35,False,menu_name,페루,"페루,워시드",124
898,1,False,menu_name,콜롬비아,"콜롬비아,워시드",125
899,38,False,menu_name,브라질,브라질,126
907,127,False,menu_name,예멘,모카,127
915,127,False,menu_name,예멘,모카,128
924,38,False,menu_name,브라질,브라질,129
926,38,False,menu_name,브라질,브라질,130
927,14,False,menu_name,멕시코,멕시코,131
928,4,False,menu_name,에티오피아,에티오피아,132
929,94,False,menu_name,콜롬비아,"콜롬비아,게이샤",133
930,39,False,menu_name,코스타리카,"코스타리카,게이샤",134
940,127,False,menu_name,예멘,모카,135
970,127,False,store_description,예멘,,136
971,127,False,store_description,예멘,,137
980,127,False,menu_name,예멘,모카,138
995,127,False,menu_name,예멘,모카,139
1010,127,False,menu_name,예멘,모카,140
1016,17,False,store_description,인도네시아,,141
1017,17,False,store_description,인도네시아,,142
1018,17,False,store_description,인도네시아,,143
1019,17,False,store_description,인도네시아,,144
1020,17,False,store_description,인도네시아,,145
1021,17,False,store_description,인도네시아,,146
1022,17,False,store_description,인도네시아,,147
1023,127,False,menu_name,예멘,모카,148
1024,17,False,store_description,인도네시아,,149
1025,17,False,store_description,인도네시아,,150
1026,17,False,store_description,인도네시아,,151
1027,17,False,store_description,인도네시아,,152
1028,17,False,store_description,인도네시아,,153
1042,127,False,menu_name,예멘,모카,154
1053,4,False,menu_name,에티오피아,"에티오피아,구지",155
1054,28,False,menu_name,케냐,"케냐,AA",156
1055,36,False,menu_name,에티오피아,"에티오피아,예가체프",157
1056,1,False,menu_name,콜롬비아,콜롬비아,158
1060,4,False,menu_name,에티오피아,"에티오피아,구지,함벨라",159
1061,4,False,menu_name,에티오피아,"에티오피아,구지",160
1063,38,False,menu_name,브라질,브라질,161
1080,127,False,menu_name,예멘,모카,162
1085,38,False,menu_name,브라질,브라질,163
1087,4,False,store_description,에티오피아,,164
1088,4,False,store_description,에티오피아,,165
1089,4,False,store_description,에티오피아,,166
1090,4,False,store_description,에티오피아,,167
1091,4,False,store_description,에티오피아,,168
1092,4,False,store_description,에티오피아,,169
1093,4,False,store_description,에티오피아,,170
1094,127,False,menu_name,예멘,모카,171
1095,4,False,store_description,에티오피아,,172
1096,4,False,store_description,에티오피아,,173
1097,4,False,store_description,에티오피아,,174
1098,4,False,store_description,에티오피아,,175
1099,4,False,store_description,에티오피아,,176
1100,4,False,store_description,에티오피아,,177
1101,4,False,store_description,에티오피아,,178
1123,127,False,menu_name,예멘,모카,179
1147,127,False,menu_name,예멘,모카,180
1151,12,False,menu_name,온두라스,온두라스,181
1152,38,False,menu_name,브라질,"브라질,이디오피아",182
1153,38,False,menu_name,브라질,브라질,183
1154,5,False,menu_name,과테말라,과테말라,184
1155,36,False,menu_name,에티오피아,"이디오피아,예가체프",185
1156,28,False,menu_name,케냐,"케냐,AA",186
1157,4,False,store_description,에티오피아,,187
1157,5,False,store_description,과테말라,,188
1157,1,False,store_description,콜롬비아,,189
1157,18,False,store_description,코스타리카,,190
1157,2,False,store_description,케냐,,191
1158,4,False,store_description,에티오피아,,192
1158,5,False,store_description,과테말라,,193
1158,1,False,store_description,콜롬비아,,194
1158,18,False,store_description,코스타리카,,195
1158,2,False,store_description,케냐,,196
1159,4,False,store_description,에티오피아,,197
1159,5,False,store_description,과테말라,,198
1159,1,False,store_description,콜롬비아,,199
1159,18,False,store_description,코스타리카,,200
1159,2,False,store_description,케냐,,201
1160,4,False,store_description,에티오피아,,202
1160,5,False,store_description,과테말라,,203
1160,1,False,store_description,콜롬비아,,204
1160,18,False,store_description,코스타리카,,205
1160,2,False,store_description,케냐,,206
1161,4,False,store_description,에티오피아,,207
1161,5,False,store_description,과테말라,,208
1161,1,False,store_description,콜롬비아,,209
1161,18,False,store_description,코스타리카,,210
1161,2,False,store_description,케냐,,211
1162,127,False,menu_name,예멘,모카,212
1163,4,False,store_description,에티오피아,,213
1163,5,False,store_description,과테말라,,214
1163,1,False,store_description,콜롬비아,,215
1163,18,False,store_description,코스타리카,,216
1163,2,False,store_description,케냐,,217
1164,4,False,store_description,에티오피아,,218
1164,5,False,store_description,과테말라,,219
1164,1,False,store_description,콜롬비아,,220
1164,18,False,store_description,코스타리카,,221
1164,2,False,store_description,케냐,,222
1165,4,False,store_description,에티오피아,,223
1165,5,False,store_description,과테말라,,224
1165,1,False,store_description,콜롬비아,,225
1165,18,False,store_description,코스타리카,,226
1165,2,False,store_description,케냐,,227
1182,32,False,menu_name,파나마,"파나마,게이샤",228
1196,127,False,menu_name,예멘,모카,229
1210,4,False,store_description,에티오피아,,230
1210,5,False,store_description,과테말라,,231
1210,1,False,store_description,콜롬비아,,232
1210,2,False,store_description,케냐,,233
1210,38,False,store_description,브라질,,234
1211,4,False,store_description,에티오피아,,235
1211,5,False,store_description,과테말라,,236
1211,1,False,store_description,콜롬비아,,237
1211,2,False,store_description,케냐,,238
1211,38,False,store_description,브라질,,239
1212,4,False,store_description,에티오피아,,240
1212,5,False,store_description,과테말라,,241
1212,1,False,store_description,콜롬비아,,242
1212,2,False,store_description,케냐,,243
1212,38,False,store_description,브라질,,244
1213,4,False,store_description,에티오피아,,245
1213,5,False,store_description,과테말라,,246
1213,1,False,store_description,콜롬비아,,247
1213,2,False,store_description,케냐,,248
1213,38,False,store_description,브라질,,249
1214,4,False,store_description,에티오피아,,250
1214,5,False,store_description,과테말라,,251
1214,1,False,store_description,콜롬비아,,252
1214,2,False,store_description,케냐,,253
1214,38,False,store_description,브라질,,254
1236,127,False,menu_name,예멘,모카,255
1254,20,False,store_description,하와이,,256
1255,20,False,store_description,하와이,,257
1256,20,False,store_description,하와이,,258
1257,20,False,store_description,하와이,,259
1269,127,False,menu_name,예멘,모카,260
1282,127,False,menu_name,예멘,모카,261
1296,898,False,menu_name,인도네시아,자바,262
1303,127,False,menu_name,예멘,모카,263
1308,127,False,menu_name,예멘,모카,264
1333,799,False,store_description,베트남,,265
1334,799,False,store_description,베트남,,266
1341,127,False,menu_name,예멘,모카,267
1342,127,False,menu_name,예멘,모카,268
1343,127,False,menu_name,예멘,모카,269
1344,127,False,menu_name,예멘,모카,270
